q ɯ ²	ɣ ɯ̃ ²
ɣ ɯ ²	ɣ ɯ ²
ŋ o ¹	ŋ o ¹
tʰ æ ⁴	tʰ r æ ⁴
s j o ŋ ¹	ɕ o ŋ ¹
p ɯ ¹	b r i ¹
tʰ r u ²	tʰ r u ²
n o ²	p u ²
n o ²	p j o ²
q æ ⁴	q æ ⁴
k o ⁴	k o ⁴
tʰ ə ⁴	tʰ e ⁴
s j i ⁴	ɕ i ⁴
q ɯ ¹	q ɯ ¹
m e ¹	m e ¹
s r ɛ ¹	s r e ŋ ¹
ɖʐ i ⁴	ɖʐ i ⁴
q w a ⁴	q w a ⁴
ɖʐ o ⁵	ɖʐ o ³
t w e n ²	t w e n ²
sʰ w a ŋ ¹	sʰ w a ŋ ¹
k æ ⁴	k æ ⁴
s ɯ ²	sʰ r ɯ ²
s r e ²	s r ɯ ²
s r o ¹	s r e ŋ ¹
j e n ¹	j e n ¹
ts j j e n ⁵	ts j e n ⁵
x e n ¹	x e n ¹
ɣ ɔ ¹	h ɔ ¹
p j ɛ ²	p j ɛ ²
s j æ n ¹	s j æ n ¹
tʰ e ⁴	tʰ j e ⁴
ts i ²	ts i ²
s j r i ²	ɕ w i ²
ɖʐ u ŋ ⁴	ɖʐ u ŋ ⁴
ts u ŋ ²	ts u ŋ ²
d o ⁴	d r o ⁴
ɣ ɔ ²	h ɔ ³
ʈ o ⁴	d r o ⁴
tɕʰ i ¹	tɕʰ i ¹
s j e n ¹	s j e n ¹
d j æ ⁴	t æ ŋ ⁴
tsʲʰ e ¹	tsʰ j i ¹
ts i ²	ts i ²
b æ ²	pʰ a ¹
b r j æ ⁴	p r æ ⁴
q æ ¹	q æ n ¹
tsʰ j a ⁴	b r æ ⁴
j o ⁵	j ɔ ⁵
b r j a ⁴	p r a ⁴
s j i ²	s j i ²
qʰ r o ²	qʰ ɔ ²
ts j i ¹	dʑ e n ¹
d ɛ ⁴	d ɛ ⁴
kʰ ɔ ¹	qʰ o ŋ ¹
p j i ⁴	b a ŋ ⁴
k a ŋ ¹	k a ŋ ¹
tsʰ r e n ¹	tsʰ r e ŋ ¹
d j ɯ ¹	d r ɯ ³
tɕ ɯ ¹	tɕ ɯ ¹
tsʰ w a ŋ ²	tsʰ w a ŋ ²
p æ n ²	p æ n ²
sʰ w a ⁴	sʰ w a ⁴
k u ²	k u ²
ɯ̃ ²	ɯ̃ ²
s o ŋ ³	s u ŋ ³
m ɯ ¹	m ɯ ¹
tsʰ u ¹	tsʰ u ŋ ¹
ŋ w ɛ ²	ŋ w e n ²
ɣ j ɯ ²	d r ɯ ²
ŋ j o ⁴	ŋ j o ŋ ⁴
d w e ⁵	d w ɛ ⁵
s o ²	s u ŋ ²
w e n ¹	ʁ w e n ¹
pʰ j æ ¹	pʰ r æ ¹
n o ²	n o ²
n j i ²	n j i ⁴
m a ⁴	m a ⁴
ɣ o ŋ ¹	h a ŋ ⁵
ʈ u ⁴	ʈ o ⁴
tsʰ o ŋ ⁵	tsʰ o ŋ ³
ŋ ɯ ¹	ŋ ɯ ¹
l ɔ ¹	l ɔ ¹
ts r e n ¹	ts r e ŋ ¹
m ɯ ⁴	m ɯ ⁴
tɕ j æ ⁴	tɕ æ ¹
n ɔ ³	n ɔ ³
tsʰ o ŋ ¹	tsʰ o ŋ ¹
ŋ w a ⁴	ŋ w a ⁴
d o ŋ ²	d j o ŋ ²
g ɯ ¹	k ɯ ¹
tɕ j ɯ ²	tɕ ɯ ²
ts j i ⁴	ts j i ⁴
tʰ u ³	tʰ r u ³
z e n ¹	z e n ¹
b e ²	p e ¹
q ɯ ¹	q ɯ ¹
ŋ ɔ n ⁵	ŋ ɔ ³
m æ ²	m æ ²
m ɯ ¹	m ɯ ⁴
s ɯ ²	sʰ r ɯ ²
qʰ w a ⁴	qʰ w a ⁴
ɣ u ⁵	g o ŋ ³
tʰ r i ⁴	tsʰ r i ¹
ɖʐ ɯ ²	dʑ ɯ ²
d o ¹	d r o ŋ ¹
tsʰ i ⁴	tsʰ j i ⁴
p r j a ⁴	b r æ ⁴
n u ¹	n j o ŋ ¹
χ w a ⁴	h w a ⁴
b r i ¹	b r i ³
b æ n ³	b æ n ³
b r i ¹	p r i ¹
s e n ⁵	s e n ⁵
b æ ⁴	b æ ⁴
ts r i ¹	ts r i ¹
d i ⁴	d i ⁴
q a ŋ ¹	q a ŋ ¹
m ɯ ²	m ɯ ²
ɣ ɯ̃ ³	g ɯ̃ ³
tʰ j ə ²	tʰ j e ²
d o ¹	d r o ŋ ¹
q ɛ ¹	q ɛ ¹
d ɯ ³	d r ɯ ³
l ɔ ¹	l a ¹
tʰ j ɛ ²	tʰ j e ²
pʰ æ ¹	pʰ æ ¹
ɣ j e n ¹	p r e n ¹
j ɔ ⁴	j ɔ ⁴
p u ²	p ɯ ²
j æ ¹	b j o ²
ɖʐ w e n ⁵	ɖʐ w e n ⁵
d ɯ ⁴	ʈ ɯ ⁴
ɕ w o ⁴	s w a ⁴
d o ⁴	d j ɯ ¹
ɕ r o ²	ɕ w i ²
s æ ⁴	sʰ r æ ⁴
ts r ɯ ²	ʈ ɯ ²
tsʰ i ⁴	tsʰ j i ⁴
tsʰ j e n ¹	tsʰ j e n ¹
b e ¹	b e ¹
s e n ¹	sʰ j e n ¹
s r i ⁴	s r i ⁴
tʰ a ⁴	tʰ a ⁴
j i ¹	j i ³
sʰ w a ŋ ³	sʰ w a ŋ ³
n o ⁴	n ɛ ¹
s w a ¹	s w a ŋ ¹
ts u ²	ts u ²
b æ ¹	b æ ¹
d ɯ ⁴	tʲ ɯ ⁵
tɕ e ¹	tɕ i ¹
k o ŋ ¹	k o ŋ ¹
ɖʐ i ²	ɖʐ i ²
m ɯ ⁴	m ɯ ⁴
ɣ j a n ¹	d r æ n ¹
ɖʐ j o ⁴	ɖʐ o ⁴
k w a ¹	k w a ⁴
m o ²	m ø ²
ɣ æ ⁴	ɣ æ ⁴
qʰ u ¹	qʰ u ¹
b r i ¹	b r i ²
b e ¹	b e ¹
j o ²	ŋ j o ²
b w ɛ n ¹	ŋ w e n ¹
qʰ o ⁴	qʰ ɔ ⁴
ŋ j ə ⁴	n j e ⁴
d ɔ ⁵	d ɔ ⁵
q æ ¹	q æ n ¹
s j ɔ ¹	sʰ r ɔ ¹
d j ɯ ⁴	t ɯ ⁴
p r e n ¹	p r e n ¹
tɕʰ æ n ¹	tɕʰ æ ¹
x ɯ ²	x ɯ ³³
s w a ŋ ¹	s w a ŋ ²¹
g ɯ ¹	g ɯ ¹
q ɯ ¹	q ɯ ¹
sʰ w a ⁴	sʰ w a ⁴
b j o ⁴	b j o ⁴
m o ²	m ø ²
q a ŋ ¹	q a ŋ ¹
n u ²	t u ²
p æ ⁴	p æ ⁴
ts w e ⁴	ts w ɛ ⁴
m æ ⁴	m æ ⁴
d ɯ ³	d r ɯ ³
ɣ ɯ ³	ɣ ɯ ³
d j æ n ¹	t æ ¹
b æ ŋ ¹	b æ ŋ ¹
p ɛ ⁴	b ɛ ⁴
ɣ o ²	w u ⁴
d j i ²	dʑ i ²
d r o ŋ ¹	d r o ŋ ¹
s r u ¹	s r u ¹
kʰ o ŋ ¹	kʰ o ŋ ¹
k w i ¹	k w ɛ ¹
k o ⁵	k o ⁵
s r e ²	s r e ŋ ²
m æ ¹	m æ ¹
ɕ a ⁴	ɕ a ⁴
ŋ o ⁴	ŋ o ³
t ɛ ⁴	t ɛ ⁴
ɣ ɯ ²	ɣ ɯ ²
ɖʐ j o ⁴	ɖʐ o ⁴
n o ¹	n o ŋ ³
q æ ⁴	q æ ⁴
ɣ o ⁴	ɕ a
pʰ j i ⁴	pʰ r a ⁴
j o ŋ ²	n j o ŋ ²
dʑ a ⁴	dʑ a ⁴
sʰ w ɛ ⁴	sʰ w ɛ ⁴
tʰ e ⁴	tʰ r e ⁴
ɖʐ i ¹	ɖʐ i ¹
ʁ a ŋ ¹	ʁ a ŋ ¹
ŋ w æ ⁵	ŋ w æ ⁵
tɕ e n ¹	tɕ e n ¹
j o ŋ ¹	n j o ¹
z i ³	z ɯ ³
m o ²	m ø ²
kʰ r j o ²	kʰ r o ²
tɕ j æ n ¹	tɕ æ ŋ ¹
s a ⁴	s a ⁴
d o ŋ ¹	d o ŋ ¹
s ɔ ³	sʰ ɔ ³
j a ⁴	j a ⁴
χ e ⁴	χ ɯ ⁴
s u ¹	ʂ u ¹
ɖʐ i ⁴	ɖʐ i ⁴
m æ ²	m æ ²
