b ʃ t	b w θ
b qˤ l	b qˤ l
ʔ a s	ʔ a
ʃ qˤ j	ʃ qˤ j
ɣ r n	ɣ r n
ʃ i n a t	ʃ i n a t
m n j	m n j
t a r	t r r
θˤ l m	θˤ l m
s k r	s k r
z b b	ð b b
k s k s	k a
b a t a	p
ð r ʔ	ð a r ʔ
ʔ i l	ʔ a θ l
ʔ a m a l a t	ʔ a l m a n a t
qˤ b r	qˤ b r
ʕ r r	ʕ u
ʔ u ð n	ʔ u ð n
ħ a s iː s	ħ a s iː s
l p ʔ	l p ʔ
ʕ i sˤ sˤ	ʕ θˤ aː j
ʃ l	ʃ l ħ
ʕ a p a r	ʕ a p a r
r ʃ θ	r ʃ ʕ
d d	h a d a d
d aː d	d aː d
p a r θ	p a r θ
g u m u	k m d
n ʃ	n ʃ
n x l	n x l
m r n	ʔ n a r
m r r	m r r
g l g a	g l g l a t
a r ʔ	ʔ r aː w
r b k	r b k
w ʃ n	w ʃ n
d k ʃ	d g ʃ
n h qˤ	n h qˤ
ð u b b	ð b b
z a p p	z a p p
qˤ j ʔ	qˤ j
l ħ t	l ħ j a t
ʕ a l qˤ	ʕ a l a
a r ʕ	ɬˤ r ʕ
ħ a m tˤ tˤ	ħ m tˤ
ʕ p qˤ n	ʕ a b a qˤ
θˤ i l l	θˤ i l l
ʔ x ð	ʔ x ð
p u r p i r	p r p r
ʃ ʔ l	ʃ ʔ l
ħ l p	ħ l p
n a p i ʃ	n a p a
g b	g b
ħ m aː r	ħ i m aː r
n p	n a p ʃ
ɬ a p	ɬ a j p
ʔ b b ʕ	b ʕ b ʕ
b r qˤ	b r qˤ
ʔ a θ a r	ʔ a θ a r
s n b ʔ	s i
z b l	z b l
p qˤ d	p qˤ d
l u ɣ	l ɣ
w a r i k	w a r i k
ʕ a r p	ɣ a r p
sˤ ɣ r	sˤ ɣ r
b sˤ sˤ r	b n θˤ u r
l a h b	l a h b
m j j	m a j
b i n t	b i n t
ʃ n	θ i n aː
n a sˤ a	n aː sˤ i j a t
θ a r ʃ	ɬ r ʃ
ħ m r	ħ m r
ʔ a p a j	ʔ p j
l b n	l a b b
ʔ a r m	ʔ a r m
b ʃ l	b ʃ l
m ʔ aː n	ɬ a ʔ n
ʃ qˤ tˤ	ʃ qˤ tˤ
	gʷ a z
ʃ a ħ a r	ʃ a ħ r
b u l l	b l
d h p	d ħ p
s n n t	s n uː n a t
p	x ɬ p
ʃ p l	ʃ p l
ʃ t j	ʃ t j
b n	b a j n
n a p ʃ	n p ʃ
p a r	p a r r
g p p	g a p p
n n	h a n n i
w ɬ r	w ɬ r
p r m	p r m
ʃ tˤ r	ʃ tˤ r
ʔ r x	ʔ u r x
p r r	p a ʔ r
ħ m n t	ħ m m
h l k	h l k
ʃ m m	ʃ
b r aː θ	b u r aː θ
d a m	d a m
d ʃ	d w ʃ
ʃ ʔ b	ʃ ʔ b
θ a m ʃ	ɬ a m ʃ
b a ʕ l	b a ʕ l
ʔ i	ʔ i t
ɬˤ i l a ʕ	ɬˤ i l a ʕ
t i ʃ ʕ	t i ʃ ʕ
d i m ʕ	d m ʕ a t
ʃ l p p	ʃ a l a ħ p a w
ħ u p n	ħ u p n
x i l p	x i l aː p
ʔ a n	ʔ a n aː k u
x ħ ɬ	ħ a ɬ j
w b l	w b l
ʔ b r	ʔ b r
θ uː m	θ uː m
a θ n	θ j n
ʔ a j t a	ʔ a n t a
ʔ θ	j θ w
s x	s ħ
θˤ a b j	θˤ a b j
b	b t t
tˤ b x	tˤ b ħ
x l sˤ	l x sˤ
ɬˤ n	ɬˤ a ʔ n
ʕ a l	ʕ a l a j
b qˤ qˤ	b a qˤ qˤ
ɣ r n iː qˤ	ɣ r n iː qˤ
d n	d j n
l	ʔ a θ a l
ʃ a m j j	ʃ a m a j
m ɬ	m ɬ
b a sˤ sˤ	b ɬˤ ɬˤ
p a r	p a r ʔ
m x x	m u x x
k	k i ʃ aː d
ɬ a ʕ p a t	ɬ p
k a k k a b	k a b k a b
n ɣ r	n ɣ r
ħ l ʔ	ħ
ʃ a g ʕ	ʃ g ʕ
r k b	r k b
qˤ d m	qˤ d m
d m	d w m
ʔ r ʃ	ʔ r ʃ
w a r qˤ	w r qˤ
b u tˤ m	b u tˤ m
r qˤ qˤ	r qˤ qˤ
d l w	d l w
ɣ p	ɣ p
k θˤ r	k i
n x r	n a x iː r
k r ʕ	k u r aː ʕ
θˤ a h r	θˤ a h r
s k t	ʃ k t
ɣ	ɣ θ j
k m r	k m r
i r ʃ	ɬˤ i r ʃ
ɣ ʃ	ʕ a w
ħ r ɬ p	ħ a r a p
x a m ʃ	x a m ʃ
n a p j	n p j
b i l j	b l
qˤ qˤ	qˤ a ʔ
ʔ i r	ʔ tˤ r
m u	m s
k i p p a t	k p
ʔ m r	ʔ m r
ʕ a d	ʕ a d a j
p r ʕ	p a r ɣ
ɣ p r	ɣ p r
p l ʃ	p l ʃ
d i b r	d a
t l ʕ	t l ʕ
ħ i tˤ tˤ t	ħ i n tˤ a t
m ʃ	ʕ m s
	ʃ a
θ a l g	θ a l g
d r	h d r
ʃ b a l t	ʃ u b u l a t
ʔ a t u n	ʔ a n t u m u
ɬ i m aː l	ɬ a m ʔ aː l
n t n	n t n
ʃ l w	l w
r ħ ɬˤ	r ħ ɬˤ
qˤ r d	qˤ r d
ʃ i n n	ʃ i n n
g b b	g a b b
s l	θ l
l qˤ	l qˤ ħ
d a l	d a l w
n ɬ ʔ	n ɬ ʔ
l qˤ l qˤ qˤ	l a qˤ l a qˤ
x tˤ r	x u tˤ r
ʔ a r	ʔ r
ɣ a z j l	ɣ z aː l
ħ i l ʔ	ħ i l
ʕ i ð qˤ t	ʕ i d qˤ
ɣ tˤ	ɣ tˤ w
ʔ a m m t	ʔ a m m a t
b ɣ b	ɣ a
ɬ m x	ɬ m x
ʃ r p	ɬ r p
ɬ j m	ɬ j m
b r sˤ	b r sˤ
r ʔ m	r ʔ m
b l j	b l j
l i b b	l i b b
ʕ a m m	ʕ a m m
sˤ b ɣ	sˤ b ɣ
m m x	ʃ m aː x
ʔ a t i n	ʔ a n t i n a
p x r	p x r
ð m r	z m r
h a l a l	h l l
m l i ʔ	m l ʔ
b l tˤ	b l tˤ
ʃ p l	ʃ a p uː
r b ɬˤ	r b ɬˤ
p iː l	p iː l
b l l	b l l
ʔ i ʃ k	ʔ i
ʔ a j j a l	ʔ a j j a l
t i b n	t i b n
tˤ j r	tˤ a j r
l l	p l l
l w θ	l w ʃ
h w j	h w j
r ɣ t	r u ɣ w a t
ʔ r k	ʔ r k
p r ɣ a ʕ	p r ɣ θ
g j	g a w i ʔ
ɬ a p a t	ɬ a p a t
u m m	d m m
g i ʃ ɬ	g i ɬ ɬ
ʃ i n a	ʃ i n a
ɣ u r l a	ɣ u r l
p i ʔ a t	p i ʔ a t
k m a	k m a
k i n	k m
r ħ	r aː ħ a t
ħ m ɬˤ	ħ m ɬˤ
k l ʔ	k l ʔ
n ʃ b	n ʃ b
x r ɬˤ	x a r uː sˤ
z qˤ p	z qˤ p
b a j t	b a j t
ʔ i ʃ t	ʔ i ʃ
ʔ i b r	ʔ i b r a t
ʃ a	ʃ u
ɬ m	ɬ m
d	j a d
ʕ a qˤ i b	ʕ a qˤ i b
p ʃ ʃ	p ʃ w
p qˤ	p w qˤ
b ħ r	b ħ r
ʔ a b n	ʔ a b n
sˤ ʕ n	θˤ ʕ n
m	h m
l a b ʔ	l a b ʔ
ʔ b b i l	ʔ b b l
p qˤ qˤ ʕ	p qˤ ʕ
b a r qˤ	b a r a qˤ
tˤ ʕ m	tˤ ʕ m
	ʃ u
ʃ a m n	ʃ a m n
r	h r j
p a x	p t x
m θ l	m θ l
ħ a m	ħ m m
b k j	b k j
p ʕ m	p a ʕ m
l θ ɣ	l a θ a ɣ
ɬ ħ m	ɬ a ħ m
z r	z w r
qˤ p i	qˤ a p j
ɣ l p	ɣ l p
ʔ j	ʔ iː
b r r	b r r
r a w	r a ʔ
n qˤ	j n qˤ
ʔ k l	ʔ k l
qˤ i qˤ qˤ b a t	qˤ b a t
l	l a ʃ d
ʔ n ħ n	n i ħ n u
n θ k	n θ k
d aː r	d a w r
k b s	k b s
ʔ i l	ʔ i l
ʔ a l p	ʔ a l p
ʔ t i	ʔ a n t i
ʃ a l t	ʃ i l j a t
z b	s b ʔ
ʃ i θ t	ʃ i d θ
ʔ z r	ʔ a z
g ɬ j	g ɬ ʕ
ð ʕ t	ð ʕ a t
ʕ n qˤ	ʕ n qˤ
m ʔ d	m ʔ d
i b	ʔ w j
r ħ m	r ħ m
ʔ a r	ʔ a r ɬˤ
ʃ m	ʃ m
qˤ l b	qˤ a l b
d qˤ qˤ	d qˤ qˤ
d r r	d r d r
b k r	b k r
ʃ m ʕ	ʃ m ʕ
ʃ l k	ʃ l k
z n n	ð n m
d i b ʃ	d i b ʃ
p l ħ	p l ħ
n θˤ r	n θˤ r
d a a θ	d a θ ʔ
w θ b	w θ b
l ʔ m	l ʔ m
ð k r	ð k r
ħ l sˤ	ħ l sˤ
qˤ tˤ p	qˤ tˤ p
ɬ r m	ɬ r m
g b ʃ	g b ʃ
ɣ r	θ ɣ r
tˤ iː	tˤ iː n
ʕ m d	ʕ m d
ħ r ð a n	ħ r d
d m	qˤ d m
g r d	g r d
k s p	k s p
k l j t	k l j a t
x r p	x r p
b k n	b i k a j
p tˤ r	p tˤ r
ħ l	ħ a
s n	θ n
j a m iː n	j a m n
a	ɬₓ m a t
b x r	b x r
k s s	k s
ð a	ð
ʃ l qˤ	ʃ l qˤ
ʕ i ɬˤ	ʕ i ɬˤ
ʔ a l a n	ʔ a l l
k i l a	k i l ʔ
g u l ɬₓ	g l p a t
k r	k a
ʔ k l	ʔ θ k aː l
θˤ m ʔ	θˤ m ʔ
k b r	k b r
n	n
ʔ x x r	ʔ x r
qˤ	qˤ aː ʕ
i ʃ r	p ʃ r
ɬ i ʕ r	ɬ a ʕ r
w r d	w r d
l x m	l x m
ɣ d r	ɣ d r
x a r i p	x r p
k a a t	k a l l a t
l l ʔ	l a ʔ l a ʔ
l	ʃ l
ð k j	ð k j
ʔ i m m	ʔ i m m
ʕ p	ʕ ɬˤ p
m a ʃ k	m a ʃ k
sˤ l l l	sˤ l
m m m	g a m g a m
b tˤ l	b tˤ l
m s ʔ	m θˤ ʔ
s a r b	θ a r b
ɬˤ a b ʕ	ɬˤ b ʕ
p a r ʕ	p a r ʕ
ð i m r	ð m r
ʔ a t aː n	ʔ a t aː n
k r b	k r b
p l	p l
x a r ʃ	x r ʃ
ɣ p p r	ɣ a p a r
n i r	n sˤ r
b h n	b h n
a m r	t a m a r
d ʃ n	d ʃ m
r b	ʕ a
a j j i	ʔ a j j
ʃ d	ɬ a d a w
g a r a b	g a r a b
r b	r b j
ħ ð w	ħ ð j
ʃ i	ʃ p p
b a ʕ l t	b ʕ l
z i b l	z i b l
p t l	p t l
θ a r iː d	w a r iː d
b tˤ ħ	b tˤ ħ
ʕ s b	ʕ s b
t l	t a w l i ʕ a t
ħ w b	ħ u b b
m t	m w t
qˤ u r d	qʷˤ r d
n a x l	n a x l
ħ	ħ a n n
p r ɬˤ	p r ɬˤ
w b i l	w aː b i l
ʃ u	ʃ u m u
n b	n uː b
m ħ d r d	ħ m d r
ʔ a l	ʔ a j l
ʔ a b r	ʔ a
ɬˤ m d	ɬˤ m d
k	k
ħ a m	ħ a m
θ p r	θ a p r
qˤ a r n	qˤ a r n
ʃ r	j ʃ r
k s m	k s m
r m	ɬ r m
θ a r	θ a w r
x z iː r	x z iː r
l	p l k
p n j	p a n
d u r r	d r r
k a b ɬ	k a b ɬ
k a r ɬ	k a r i ɬ
l ɬₓ	x aː l a t
sˤ b i j	sˤ b w
j a r b ʕ	j a r b ʕ
m a ʔ n a n	m n
ʔ a p ʕ a	ʔ a p ʕ a w
b k r	b k r
p d j	p d j
g i m	w
p r	p r j
g m g	g uː g
k m t	k a m ʔ a t
k i s l	k s l
ʕ a n z	ʕ n z
ɣ r	ɣ aː r
d w j	d w j
ʃ b l	ʔ b l
b a θ a n	b a θ a n
tˤ aː b	tˤ j b
n a ɬˤ a	n a
p r r	p r r
r b	qˤ r b
ð a n a b	ð a n a b
m r ʔ	m r ʔ
t i h a m	t i h aː m
ʔ n p	ʔ a n a p a t
d l l	d l l
ʔ t m	ʔ t m
m t n	m a t n
ʃ i t	ʃ i t
ɬˤ m qˤ	ɬˤ j qˤ
ʃ k r	ʃ k r
ð	ʕ z
k p p l	k a p l
l ɬˤ r	b ɬˤ r
ɬ i j b t	ɬ a j b a t
ɬ j b	ɬ j b
qˤ r b	qˤ r b
sˤ a r sˤ a r	sˤ a r sˤ a r
m qˤ qˤ	m qˤ
r d ʔ	r d ʔ
a m n	θ a m aː n i j
ʔ m qˤ	d m qˤ
b	b ʔ
ʃ ʕ l	ʃ ʕ l
m n	m iː n
g d d	g d d
l	x l
r m	r m
g n n	g n n
b h qˤ	b h qˤ
x a tˤ m	x u tˤ m
l m	l ħ m
a h r	ɬ a h r
qˤ p s	qˤ p sˤ
t i n	t i ʔ i n
ʔ n x r	n x r
z a r z iː r	z a r z iː
l i ʃ aː n	l i ʃ aː n
b r k	b i
n b l ʔ	n a b a l
l	l a ʔ a j a t
sˤ r tˤ	ɬˤ r tˤ
r aː ʔ ʃ	r a ʔ ʃ
p r ʃ t	p r s
n a h r	n a h r
ʔ a θ θ	ʔ a n θ a t
w ð n	w z n
m n	m n
ʃ m	w ʃ m
b n	b n j
r b	r u
j d ʕ i	w d ʕ
ʕ a r ʕ a r	ʕ a r ʕ a r
p r sˤ	p a r ɬˤ
n i n j	ʔ n j
x tˤ tˤ	x tˤ tˤ
qˤ ɬˤ	qˤ j sˤ
r	ʕ sˤ sˤ uː r
w l	z l
ʔ a ʔ j	w ɬ ʔ̣
ħ	ħ p ɬ
θˤ r r	θˤ r r
z i z	z iː z
ʃ l a ʕ	ʃ
ħ a r g a l	ħ a r g a l
tˤ r d	tˤ r d
ʕ a θ	ʕ θ θ
ʔ a r x	ʔ a r x
g m r	g m r
ð u b b	ð
ħ a qˤ l	ħ a qˤ l
d a ʔ j a	d a ʔ j
ʃ x n	ʃ x n
m ʔ a t	m i ʔ a t
w	ɬˤ a j w
ʔ ʃ l	ʔ a ʃ a l
g r r	g r r
ʃ i	ʕ a ʃ t
m t	m u t
θ qˤ l	θ qˤ l
ɬ ɬ r	ɬ r ɬ uː r
k b	k b w
ɬ b ʕ	ɬ b ʕ
ʕ a uː d	ʕ a t uː d
l g	p l g
d a b b	d u b b
ʔ a tˤ a d	ʔ a tˤ a d
ħ d d	ħ d d
b r ħ	b r ħ
g u r n	g u r n
ɣ b tˤ	ɣ b tˤ
n w m t	n w m
ʔ m d n	m d iː n
k i	k
m r	m u h r
qˤ a m ħ	qˤ a m ħ
p ħ l	p a ħ l
s a s	s aː
qˤ tˤ r	qˤ tˤ r
b a r m	b r m
m r u ʔ	m a r ʔ
ʔ d h m	d h m
ʔ a x	ʔ a x
sˤ ħ	sˤ ħ w
r g	p a r g
k a r a n	k a r a θ
tˤ i ħ aː l	tˤ i ħ aː l
k a p p	k a p p
r d j	r d j
qˤ d	w qˤ d
qˤ j ʃ	qˤ a j ɬ
x l qˤ	x l qˤ
tˤ ħ n	tˤ ħ n
k a l b	k a l b
k a b i d	k a b i d
r ʕ d	r a ʕ d
n a r	n w r
ʔ r b j t	r b j
d a r	d w r
m u ʃ j	m u ʃ j
d d a	d aː d a t
ʕ i g l	ʕ i g w a l
r	qˤ r r
ð a qˤ a n	ð a qˤ a n
n k k p t	n a k a p a t
ħ m θ	ħ a m θ
ʃ l	ɬ a l aː θ
ɣ ɣ	tˤ a ɣ
ɬ b a t	ɬₓ b a j
ʔ ʃ d	ʔ i ʃ d
ʕ i ɬ r	ʕ i ɬ r uː
ɬ a p p r	ɬ p r
k sˤ d	qˤ sˤ d
p a r r	p a r r
ʕ n qˤ	ʕ n qˤ
t i l l	t l l
ʔ a j p	ʔ a n p
ʃ r w	ʃ r j
w k l	w k l
ħ b tˤ	ħ b tˤ
k k m m	k m
b j t	b j t
p ɬ s	p s ħ
b i ʔ ʃ	b ʔ ʃ
x l	x j l
ʔ a r n a b	ʔ a r n a b
g j iː d	g iː d
ð ʔ b	ð i ʔ b
ʔ	g d a t
g r	g uː r
ʔ a b	ʔ a b
ɬ r p	ɬ r b
m t qˤ	m tˤ qˤ
ʃ n	ʃ m
r	r qˤ ħ
j a m	j a w m
sˤ	x a m
ʕ m qˤ	ʕ m qˤ
t b ʕ	t b ʕ
n ʃ p	n ʃ p
sˤ a r ɣ t	sˤ r n ʕ a t
ʃ	θ ʕ j
b a r	b i ʔ r
m a n	m a n n
d i m t	d i m
r a qˤ qˤ	r a qˤ qˤ
k a n a p	k a n a p
ɣ a r i b	ɣ aː r i b
s l m	ʃ l m
qˤ a qˤ qˤ a d	qˤ d qˤ d
